Description,Price,Url
TV LED HITACHI 32HAE2250,"1.699,00kn",https://pevex.hr/tv-led-hitachi-32hae2250-hd-ready-dvb-t2-s2-android-340863.html
TV LED HITACHI 55HAL7150,"3.899,00kn",https://pevex.hr/tv-led-hitachi-55hal7150-337161.html
TV LED HITACHI 55HAK6150,"3.499,00kn",https://pevex.hr/tv-led-hitachi-55hak6150-337162.html
TV LED PHILIPS 24PFS5505/12,"1.299,00kn",https://pevex.hr/tv-led-philips-24pfs5505-12-344501.html
SAMSUNG UE43TU7092UXXH UHD DVB-T2/S2 SMART LED TV,"2.799,00kn",https://pevex.hr/tv-led-samsung-ue43tu7092uxxh-uhd-dvb-t2-s2-smart-341666.html
SAMSUNG UE50TU7092UXXH UHD DVB-T2/S2 SMART LED TV,"2.949,00kn",https://pevex.hr/tv-led-samsung-ue50tu7092uxxh-uhd-dvb-t2-s2-smart-341667.html
SAMSUNG UE55TU7092UXXH UHD DVB-T2/S2 SMART LED TV,"3.699,00kn",https://pevex.hr/tv-led-samsung-ue55tu7092uxxh-uhd-dvb-t2-s2-smart-341668.html
SAMSUNG UE65TU7092UXXH UHD DVB-T2/S2 SMART LED TV,"4.509,00kn",https://pevex.hr/tv-led-samsung-ue65tu7092uxxh-uhd-dvb-t2-s2-smart-341669.html
SAMSUNG UE43TU8072UXXH UHD DVB-T2/S2 SMART LED TV,"2.589,00kn",https://pevex.hr/tv-led-samsung-ue43tu8072uxxh-uhd-dvb-t2-s2-smart-341670.html
SAMSUNG UE50TU8072UXXH UHD DVB-T2/S2 SMART LED TV,"3.139,00kn",https://pevex.hr/tv-led-samsung-ue50tu8072uxxh-uhd-dvb-t2-s2-smart-341671.html
SAMSUNG UE55TU8072UXXH UHD DVB-T2/S2 SMART LED TV,"3.999,00kn",https://pevex.hr/tv-led-samsung-ue55tu8072uxxh-uhd-dvb-t2-s2-smart-341672.html
SAMSUNG UE55TU7172UXXH UHD DVB-T2/S2 SMART LED TV,"3.599,00kn",https://pevex.hr/tv-led-samsung-ue55tu7172uxxh-uhd-dvb-t2-s2-smart-341679.html
SAMSUNG QE55Q60TAUXXH QLED UHD DVB-T2/S2 SMART LED TV,"5.499,00kn",https://pevex.hr/tv-led-samsung-qe55q60tauxxh-qled-uhd-dvb-t2-s2-smart-341674.html
SAMSUNG QE65Q60TAUXXH QLED UHD DVB-T2/S2 SMART LED TV,"7.939,00kn",https://pevex.hr/tv-led-samsung-qe65q60tauxxh-qled-uhd-dvb-t2-s2-smart-341675.html
SAMSUNG QE50Q60TAUXXH QLED UHD DVB-T2/S2 SMART LED TV,"4.699,00kn",https://pevex.hr/tv-led-samsung-qe50q60tauxxh-qled-uhd-dvb-t2-s2-smart-341673.html
